CCI,Control,Pub,
CCI-000863,MA-2_(1).1,NIST_SP_800-53A,
CCI-001629,MA-2_(2),NIST_SP_800-53,
CCI-000864,MA-2_(2),NIST_SP_800-53,
CCI-002863,MA-2_(2)_(a),NIST_SP_800-53_Revision_4,
CCI-002905,MA-2_(2)_(a),NIST_SP_800-53_Revision_4,
CCI-002864,MA-2_(2)_(b),NIST_SP_800-53_Revision_4,
CCI-002865,MA-2_(2)_(b),NIST_SP_800-53_Revision_4,
CCI-001629,MA-2_(2).1_(ii),NIST_SP_800-53A,
CCI-000864,MA-2_(2).1(i),NIST_SP_800-53A,
CCI-000858,MA-2_a,NIST_SP_800-53,
CCI-002866,MA-2_a,NIST_SP_800-53_Revision_4,
CCI-002867,MA-2_a,NIST_SP_800-53_Revision_4,
CCI-002868,MA-2_a,NIST_SP_800-53_Revision_4,
CCI-002869,MA-2_a,NIST_SP_800-53_Revision_4,
CCI-002870,MA-2_a,NIST_SP_800-53_Revision_4,
CCI-002871,MA-2_a,NIST_SP_800-53_Revision_4,
CCI-002872,MA-2_a,NIST_SP_800-53_Revision_4,
CCI-002873,MA-2_a,NIST_SP_800-53_Revision_4,
CCI-000859,MA-2_b,NIST_SP_800-53,
CCI-000859,MA-2_b,NIST_SP_800-53_Revision_4,
CCI-000860,MA-2_c,NIST_SP_800-53,
CCI-000860,MA-2_c,NIST_SP_800-53_Revision_4,
CCI-002874,MA-2_c,NIST_SP_800-53_Revision_4,
CCI-000861,MA-2_d,NIST_SP_800-53,
CCI-000861,MA-2_d,NIST_SP_800-53_Revision_4,
CCI-000862,MA-2_e,NIST_SP_800-53,
CCI-000862,MA-2_e,NIST_SP_800-53_Revision_4,
CCI-002875,MA-2_f,NIST_SP_800-53_Revision_4,
CCI-002876,MA-2_f,NIST_SP_800-53_Revision_4,
CCI-000858,MA-2.1_(i),NIST_SP_800-53A,
CCI-000859,MA-2.1_(ii),NIST_SP_800-53A,
CCI-000860,MA-2.1_(iii),NIST_SP_800-53A,
CCI-000861,MA-2.1_(iv),NIST_SP_800-53A,
CCI-000862,MA-2.1_(v),NIST_SP_800-53A,
CCI-000865,MA-3,NIST_SP_800-53,
CCI-000865,MA-3,NIST_SP_800-53_Revision_4,
CCI-000866,MA-3,NIST_SP_800-53,
CCI-000866,MA-3,NIST_SP_800-53_Revision_4,
CCI-000867,MA-3,NIST_SP_800-53,
CCI-000867,MA-3,NIST_SP_800-53_Revision_4,
CCI-000868,MA-3,NIST_SP_800-53,
CCI-000869,MA-3_(1),NIST_SP_800-53,
CCI-000869,MA-3_(1),NIST_SP_800-53_Revision_4,
CCI-000869,MA-3_(1).1,NIST_SP_800-53A,
CCI-000870,MA-3_(2),NIST_SP_800-53,
CCI-000870,MA-3_(2),NIST_SP_800-53_Revision_4,
CCI-000870,MA-3_(2).1,NIST_SP_800-53A,
CCI-000871,MA-3_(3),NIST_SP_800-53,
CCI-000871,MA-3_(3),NIST_SP_800-53_Revision_4,
CCI-002877,MA-3_(3)_(a),NIST_SP_800-53_Revision_4,
CCI-002878,MA-3_(3)_(b),NIST_SP_800-53_Revision_4,
CCI-002879,MA-3_(3)_(c),NIST_SP_800-53_Revision_4,
CCI-002880,MA-3_(3)_(c),NIST_SP_800-53_Revision_4,
CCI-002881,MA-3_(3)_(d),NIST_SP_800-53_Revision_4,
CCI-002882,MA-3_(3)_(d),NIST_SP_800-53_Revision_4,
CCI-000871,MA-3_(3).1,NIST_SP_800-53A,
CCI-000872,MA-3_(4),NIST_SP_800-53,
CCI-002883,MA-3_(4),NIST_SP_800-53_Revision_4,
CCI-000872,MA-3_(4).1,NIST_SP_800-53A,
CCI-000865,MA-3.1_(i),NIST_SP_800-53A,
CCI-000866,MA-3.1_(i),NIST_SP_800-53A,
CCI-000867,MA-3.1_(i),NIST_SP_800-53A,
CCI-000868,MA-3.1_(ii),NIST_SP_800-53A,
CCI-001630,MA-4_(1),NIST_SP_800-53,
CCI-000880,MA-4_(1),NIST_SP_800-53,
CCI-002884,MA-4_(1)_(a),NIST_SP_800-53_Revision_4,
CCI-002885,MA-4_(1)_(a),NIST_SP_800-53_Revision_4,
CCI-002886,MA-4_(1)_(b),NIST_SP_800-53_Revision_4,
CCI-000880,MA-4_(1).1_(i),NIST_SP_800-53A,
CCI-001630,MA-4_(1).1_(ii),NIST_SP_800-53A,
CCI-000881,MA-4_(2),NIST_SP_800-53,
CCI-000881,MA-4_(2),NIST_SP_800-53_Revision_4,
CCI-000881,MA-4_(2).1,NIST_SP_800-53A,
CCI-000882,MA-4_(3)_(a),NIST_SP_800-53,
CCI-000882,MA-4_(3)_(a),NIST_SP_800-53_Revision_4,
CCI-001631,MA-4_(3)_(b),NIST_SP_800-53,
CCI-001631,MA-4_(3)_(b),NIST_SP_800-53_Revision_4,
CCI-000883,MA-4_(3)_(b),NIST_SP_800-53,
CCI-000883,MA-4_(3)_(b),NIST_SP_800-53_Revision_4,
CCI-000882,MA-4_(3).1_(i),NIST_SP_800-53A,
CCI-000883,MA-4_(3).1_(i),NIST_SP_800-53A,
CCI-001631,MA-4_(3).1_(iii),NIST_SP_800-53A,
CCI-000884,MA-4_(4),NIST_SP_800-53,
CCI-000884,MA-4_(4)_(a),NIST_SP_800-53_Revision_4,
CCI-002887,MA-4_(4)_(a),NIST_SP_800-53_Revision_4,
CCI-001632,MA-4_(4)_(a)_(b),NIST_SP_800-53,
CCI-001632,MA-4_(4)_(b),NIST_SP_800-53_Revision_4,
CCI-000884,MA-4_(4).1_(i),NIST_SP_800-53A,
CCI-001632,MA-4_(4).1_(ii),NIST_SP_800-53A,
CCI-000885,MA-4_(5)_(a),NIST_SP_800-53,
CCI-000886,MA-4_(5)_(a),NIST_SP_800-53,
CCI-000887,MA-4_(5)_(a),NIST_SP_800-53_Revision_4,
CCI-002888,MA-4_(5)_(a),NIST_SP_800-53_Revision_4,
CCI-000886,MA-4_(5)_(b),NIST_SP_800-53_Revision_4,
CCI-000887,MA-4_(5)_(b),NIST_SP_800-53,
CCI-002889,MA-4_(5)_(b),NIST_SP_800-53_Revision_4,
CCI-000885,MA-4_(5).1_(ii),NIST_SP_800-53A,
CCI-000886,MA-4_(5).1_(ii),NIST_SP_800-53A,
CCI-000887,MA-4_(5).1_(iii),NIST_SP_800-53A,
CCI-000888,MA-4_(6),NIST_SP_800-53,
CCI-002890,MA-4_(6),NIST_SP_800-53_Revision_4,
CCI-003123,MA-4_(6),NIST_SP_800-53_Revision_4,
CCI-000888,MA-4_(6).1,NIST_SP_800-53A,
CCI-000889,MA-4_(7),NIST_SP_800-53,
CCI-002891,MA-4_(7),NIST_SP_800-53_Revision_4,
CCI-000889,MA-4_(7).1,NIST_SP_800-53A,
CCI-000873,MA-4_a,NIST_SP_800-53,
CCI-000873,MA-4_a,NIST_SP_800-53_Revision_4,
CCI-000874,MA-4_a,NIST_SP_800-53,
CCI-000874,MA-4_a,NIST_SP_800-53_Revision_4,
CCI-000875,MA-4_a,NIST_SP_800-53,
CCI-000876,MA-4_b,NIST_SP_800-53,
CCI-000876,MA-4_b,NIST_SP_800-53_Revision_4,
CCI-000877,MA-4_c,NIST_SP_800-53,
CCI-000877,MA-4_c,NIST_SP_800-53_Revision_4,
CCI-000878,MA-4_d,NIST_SP_800-53,
CCI-000878,MA-4_d,NIST_SP_800-53_Revision_4,
CCI-000879,MA-4_e,NIST_SP_800-53,
CCI-000879,MA-4_e,NIST_SP_800-53_Revision_4,
CCI-000873,MA-4.1_(i),NIST_SP_800-53A,
CCI-000874,MA-4.1_(i),NIST_SP_800-53A,
CCI-000875,MA-4.1_(i),NIST_SP_800-53A,
CCI-000876,MA-4.1_(iii),NIST_SP_800-53A,
CCI-000877,MA-4.1_(iv),NIST_SP_800-53A,
CCI-000878,MA-4.1_(v),NIST_SP_800-53A,
CCI-000879,MA-4.1_(vi),NIST_SP_800-53A,
CCI-000893,MA-5_(1),NIST_SP_800-53,
CCI-000893,MA-5_(1)_(a),NIST_SP_800-53_Revision_4,
CCI-000894,MA-5_(1)_(a),NIST_SP_800-53,
CCI-000894,MA-5_(1)_(a)_(1),NIST_SP_800-53_Revision_4,
CCI-000895,MA-5_(1)_(a)_(2),NIST_SP_800-53_Revision_4,
CCI-000895,MA-5_(1)_(b),NIST_SP_800-53,
CCI-002892,MA-5_(1)_(b),NIST_SP_800-53_Revision_4,
CCI-000896,MA-5_(1)_(c),NIST_SP_800-53,
CCI-000893,MA-5_(1).1,NIST_SP_800-53A,
CCI-000894,MA-5_(1).1,NIST_SP_800-53A,
CCI-000895,MA-5_(1).1,NIST_SP_800-53A,
CCI-000896,MA-5_(1).1,NIST_SP_800-53A,
CCI-000897,MA-5_(2),NIST_SP_800-53,
CCI-000897,MA-5_(2),NIST_SP_800-53_Revision_4,
CCI-000897,MA-5_(2).1,NIST_SP_800-53A,
CCI-000898,MA-5_(3),NIST_SP_800-53,
CCI-000898,MA-5_(3),NIST_SP_800-53_Revision_4,
CCI-000898,MA-5_(3).1,NIST_SP_800-53A,
CCI-000899,MA-5_(4)_(a),NIST_SP_800-53,
CCI-000899,MA-5_(4)_(a),NIST_SP_800-53_Revision_4,
CCI-000900,MA-5_(4)_(b),NIST_SP_800-53,
CCI-000900,MA-5_(4)_(b),NIST_SP_800-53_Revision_4,
CCI-000899,MA-5_(4).1_(i),NIST_SP_800-53A,
CCI-000900,MA-5_(4).1_(ii),NIST_SP_800-53A,
CCI-002893,MA-5_(5),NIST_SP_800-53_Revision_4,
CCI-000890,MA-5_a,NIST_SP_800-53,
CCI-000890,MA-5_a,NIST_SP_800-53_Revision_4,
CCI-000891,MA-5_a,NIST_SP_800-53,
CCI-000891,MA-5_a,NIST_SP_800-53_Revision_4,
CCI-000892,MA-5_b,NIST_SP_800-53,
CCI-002894,MA-5_b,NIST_SP_800-53_Revision_4,
CCI-002895,MA-5_c,NIST_SP_800-53_Revision_4,
CCI-000890,MA-5.1_(i),NIST_SP_800-53A,
CCI-000891,MA-5.1_(ii),NIST_SP_800-53A,
CCI-000892,MA-5.1_(iii),NIST_SP_800-53A,
CCI-000901,MA-6,NIST_SP_800-53,
CCI-000902,MA-6,NIST_SP_800-53,
CCI-000903,MA-6,NIST_SP_800-53,
CCI-000903,MA-6,NIST_SP_800-53_Revision_4,
CCI-002896,MA-6,NIST_SP_800-53_Revision_4,
CCI-002897,MA-6,NIST_SP_800-53_Revision_4,
CCI-002898,MA-6_(1),NIST_SP_800-53_Revision_4,
CCI-002899,MA-6_(1),NIST_SP_800-53_Revision_4,
CCI-002900,MA-6_(1),NIST_SP_800-53_Revision_4,
CCI-002901,MA-6_(2),NIST_SP_800-53_Revision_4,
CCI-002902,MA-6_(2),NIST_SP_800-53_Revision_4,
CCI-002903,MA-6_(2),NIST_SP_800-53_Revision_4,
CCI-002904,MA-6_(3),NIST_SP_800-53_Revision_4,
CCI-000901,MA-6.1_(i),NIST_SP_800-53A,
CCI-000902,MA-6.1_(ii),NIST_SP_800-53A,
CCI-000903,MA-6.1_(iii),NIST_SP_800-53A,
CCI-000995,MP-1_a,NIST_SP_800-53,
CCI-000996,MP-1_a,NIST_SP_800-53,
CCI-000997,MP-1_a,NIST_SP_800-53,
CCI-000998,MP-1_a,NIST_SP_800-53,
CCI-000995,MP-1_a_1,NIST_SP_800-53_Revision_4,
CCI-000996,MP-1_a_1,NIST_SP_800-53_Revision_4,
CCI-002566,MP-1_a_1,NIST_SP_800-53_Revision_4,
CCI-000999,MP-1_a_2,NIST_SP_800-53_Revision_4,
CCI-001000,MP-1_a_2,NIST_SP_800-53_Revision_4,
CCI-000999,MP-1_b,NIST_SP_800-53,
CCI-001000,MP-1_b,NIST_SP_800-53,
CCI-001001,MP-1_b,NIST_SP_800-53,
CCI-001002,MP-1_b,NIST_SP_800-53,
CCI-000997,MP-1_b_1,NIST_SP_800-53_Revision_4,
CCI-000998,MP-1_b_1,NIST_SP_800-53_Revision_4,
CCI-001001,MP-1_b_2,NIST_SP_800-53_Revision_4,
CCI-001002,MP-1_b_2,NIST_SP_800-53_Revision_4,
CCI-000995,MP-1.1_(i_and_ii),NIST_SP_800-53A,
CCI-000996,MP-1.1_(iii),NIST_SP_800-53A,
CCI-000999,MP-1.1_(iv_and_v),NIST_SP_800-53A,
CCI-001000,MP-1.1_(vi),NIST_SP_800-53A,
CCI-000998,MP-1.2_(i),NIST_SP_800-53A,
CCI-000997,MP-1.2_(ii),NIST_SP_800-53A,
CCI-001002,MP-1.2_(iii),NIST_SP_800-53A,
CCI-001001,MP-1.2_(iv),NIST_SP_800-53A,
CCI-001003,MP-2,NIST_SP_800-53,
CCI-001003,MP-2,NIST_SP_800-53_Revision_4,
CCI-001004,MP-2,NIST_SP_800-53,
CCI-001004,MP-2,NIST_SP_800-53_Revision_4,
CCI-001005,MP-2,NIST_SP_800-53,
CCI-001005,MP-2,NIST_SP_800-53_Revision_4,
CCI-001006,MP-2,NIST_SP_800-53,
CCI-001007,MP-2_(1),NIST_SP_800-53,
CCI-001008,MP-2_(1),NIST_SP_800-53,
CCI-001007,MP-2_(1).1_(i),NIST_SP_800-53A,
CCI-001008,MP-2_(1).1_(ii),NIST_SP_800-53A,
CCI-001009,MP-2_(2),NIST_SP_800-53,
CCI-001009,MP-2_(2).1,NIST_SP_800-53A,
CCI-001004,MP-2.1_(i),NIST_SP_800-53A,
CCI-001005,MP-2.1_(i),NIST_SP_800-53A,
CCI-001006,MP-2.1_(i),NIST_SP_800-53A,
CCI-001003,MP-2.1_(ii),NIST_SP_800-53A,
CCI-001633,MP-3_a,NIST_SP_800-53,
CCI-001010,MP-3_a,NIST_SP_800-53,
CCI-001010,MP-3_a,NIST_SP_800-53_Revision_4,
CCI-001011,MP-3_b,NIST_SP_800-53,
CCI-001011,MP-3_b,NIST_SP_800-53_Revision_4,
CCI-001012,MP-3_b,NIST_SP_800-53,
CCI-001012,MP-3_b,NIST_SP_800-53_Revision_4,
CCI-001013,MP-3_b,NIST_SP_800-53,
CCI-001013,MP-3_b,NIST_SP_800-53_Revision_4,
CCI-001633,MP-3.1_(i),NIST_SP_800-53A,
CCI-001010,MP-3.1_(ii),NIST_SP_800-53A,
CCI-001012,MP-3.1_(iii),NIST_SP_800-53A,
CCI-001013,MP-3.1_(iii),NIST_SP_800-53A,
CCI-001011,MP-3.1_(iv),NIST_SP_800-53A,
CCI-001019,MP-4_(1),NIST_SP_800-53,
CCI-001019,MP-4_(1).1,NIST_SP_800-53A,
CCI-001007,MP-4_(2),NIST_SP_800-53_Revision_4,
CCI-001008,MP-4_(2),NIST_SP_800-53_Revision_4,
CCI-001014,MP-4_a,NIST_SP_800-53,
CCI-001014,MP-4_a,NIST_SP_800-53_Revision_4,
CCI-001015,MP-4_a,NIST_SP_800-53,
CCI-001015,MP-4_a,NIST_SP_800-53_Revision_4,
CCI-001016,MP-4_a,NIST_SP_800-53,
CCI-001016,MP-4_a,NIST_SP_800-53_Revision_4,
CCI-001017,MP-4_a,NIST_SP_800-53,
CCI-001018,MP-4_b,NIST_SP_800-53,
CCI-001018,MP-4_b,NIST_SP_800-53_Revision_4,
CCI-001015,MP-4.1_(i),NIST_SP_800-53A,
CCI-001016,MP-4.1_(i),NIST_SP_800-53A,
CCI-001017,MP-4.1_(i),NIST_SP_800-53A,
CCI-001014,MP-4.1_(ii),NIST_SP_800-53A,
CCI-001018,MP-4.1_(iii),NIST_SP_800-53A,
CCI-001021,MP-5,NIST_SP_800-53A,
CCI-001025,MP-5_(2),NIST_SP_800-53,
CCI-001025,MP-5_(2).1,NIST_SP_800-53A,
CCI-001026,MP-5_(3),NIST_SP_800-53,
CCI-001026,MP-5_(3),NIST_SP_800-53_Revision_4,
CCI-001026,MP-5_(3).1,NIST_SP_800-53A,
CCI-001027,MP-5_(4),NIST_SP_800-53,
CCI-001027,MP-5_(4),NIST_SP_800-53_Revision_4,
CCI-001027,MP-5_(4).1,NIST_SP_800-53A,
CCI-001020,MP-5_a,NIST_SP_800-53,
CCI-001020,MP-5_a,NIST_SP_800-53_Revision_4,
CCI-001021,MP-5_a,NIST_SP_800-53,
CCI-001021,MP-5_a,NIST_SP_800-53_Revision_4,
CCI-001022,MP-5_a,NIST_SP_800-53,
CCI-001022,MP-5_a,NIST_SP_800-53_Revision_4,
CCI-001023,MP-5_b,NIST_SP_800-53,
CCI-001023,MP-5_b,NIST_SP_800-53_Revision_4,
CCI-001024,MP-5_c,NIST_SP_800-53,
CCI-001025,MP-5_c,NIST_SP_800-53_Revision_4,
CCI-001024,MP-5_d,NIST_SP_800-53_Revision_4,
CCI-001022,MP-5.1_(i),NIST_SP_800-53A,
CCI-001020,MP-5.1_(ii),NIST_SP_800-53A,
CCI-001023,MP-5.1_(iii),NIST_SP_800-53A,
CCI-001024,MP-5.1_(v),NIST_SP_800-53A,
CCI-001028,MP-6,NIST_SP_800-53,
CCI-001029,MP-6_(1),NIST_SP_800-53,
CCI-002567,MP-6_(1),NIST_SP_800-53_Revision_4,
CCI-002568,MP-6_(1),NIST_SP_800-53_Revision_4,
CCI-002569,MP-6_(1),NIST_SP_800-53_Revision_4,
CCI-002570,MP-6_(1),NIST_SP_800-53_Revision_4,
CCI-002571,MP-6_(1),NIST_SP_800-53_Revision_4,
CCI-002572,MP-6_(1),NIST_SP_800-53_Revision_4,
CCI-001029,MP-6_(1).1,NIST_SP_800-53A,
CCI-001030,MP-6_(2),NIST_SP_800-53,
CCI-001030,MP-6_(2),NIST_SP_800-53_Revision_4,
CCI-001031,MP-6_(2),NIST_SP_800-53,
CCI-001031,MP-6_(2),NIST_SP_800-53_Revision_4,
CCI-001031,MP-6_(2).1_(i),NIST_SP_800-53A,
CCI-001030,MP-6_(2).1_(ii),NIST_SP_800-53A,
CCI-001032,MP-6_(3),NIST_SP_800-53,
CCI-001032,MP-6_(3),NIST_SP_800-53_Revision_4,
CCI-001033,MP-6_(3),NIST_SP_800-53,
CCI-001033,MP-6_(3),NIST_SP_800-53_Revision_4,
CCI-001033,MP-6_(3).1_(i),NIST_SP_800-53A,
CCI-001032,MP-6_(3).1_(ii),NIST_SP_800-53A,
CCI-001034,MP-6_(4),NIST_SP_800-53,
CCI-001034,MP-6_(4).1_(ii),NIST_SP_800-53A,
CCI-001035,MP-6_(5),NIST_SP_800-53,
CCI-001035,MP-6_(5).1_(ii),NIST_SP_800-53A,
CCI-001036,MP-6_(6),NIST_SP_800-53,
CCI-001036,MP-6_(6).1_(ii),NIST_SP_800-53A,
CCI-002573,MP-6_(7),NIST_SP_800-53_Revision_4,
CCI-002574,MP-6_(7),NIST_SP_800-53_Revision_4,
CCI-002575,MP-6_(8),NIST_SP_800-53_Revision_4,
CCI-002576,MP-6_(8),NIST_SP_800-53_Revision_4,
CCI-002577,MP-6_(8),NIST_SP_800-53_Revision_4,
CCI-001028,MP-6_a,NIST_SP_800-53_Revision_4,
CCI-002578,MP-6_a,NIST_SP_800-53_Revision_4,
CCI-002579,MP-6_a,NIST_SP_800-53_Revision_4,
CCI-002580,MP-6_b,NIST_SP_800-53_Revision_4,
CCI-001028,MP-6.1_(ii),NIST_SP_800-53A,
CCI-002581,MP-7,NIST_SP_800-53_Revision_4,
CCI-002582,MP-7,NIST_SP_800-53_Revision_4,
CCI-002583,MP-7,NIST_SP_800-53_Revision_4,
CCI-002584,MP-7,NIST_SP_800-53_Revision_4,
CCI-002585,MP-7_(1),NIST_SP_800-53_Revision_4,
CCI-002586,MP-7_(2),NIST_SP_800-53_Revision_4,
CCI-002587,MP-8_(1),NIST_SP_800-53_Revision_4,
CCI-002588,MP-8_(2),NIST_SP_800-53_Revision_4,
CCI-002589,MP-8_(2),NIST_SP_800-53_Revision_4,
CCI-002590,MP-8_(2),NIST_SP_800-53_Revision_4,
CCI-002591,MP-8_(2),NIST_SP_800-53_Revision_4,
CCI-002592,MP-8_(3),NIST_SP_800-53_Revision_4,
CCI-002593,MP-8_(3),NIST_SP_800-53_Revision_4,
CCI-002594,MP-8_(4),NIST_SP_800-53_Revision_4,
CCI-002595,MP-8_a,NIST_SP_800-53_Revision_4,
CCI-002596,MP-8_a,NIST_SP_800-53_Revision_4,
CCI-002597,MP-8_a,NIST_SP_800-53_Revision_4,
CCI-002598,MP-8_b,NIST_SP_800-53_Revision_4,
CCI-002599,MP-8_c,NIST_SP_800-53_Revision_4,
CCI-002600,MP-8_d,NIST_SP_800-53_Revision_4,
CCI-000904,PE-1_a,NIST_SP_800-53,
CCI-000905,PE-1_a,NIST_SP_800-53,
CCI-000906,PE-1_a,NIST_SP_800-53,
CCI-000907,PE-1_a,NIST_SP_800-53,
CCI-000904,PE-1_a_1,NIST_SP_800-53_Revision_4,
CCI-000905,PE-1_a_1,NIST_SP_800-53_Revision_4,
CCI-002908,PE-1_a_1,NIST_SP_800-53_Revision_4,
CCI-000908,PE-1_a_2,NIST_SP_800-53_Revision_4,
CCI-000909,PE-1_a_2,NIST_SP_800-53_Revision_4,
CCI-002909,PE-1_a_2,NIST_SP_800-53_Revision_4,
CCI-000908,PE-1_b,NIST_SP_800-53,
CCI-000909,PE-1_b,NIST_SP_800-53,
CCI-000910,PE-1_b,NIST_SP_800-53,
CCI-000911,PE-1_b,NIST_SP_800-53,
CCI-000906,PE-1_b_1,NIST_SP_800-53_Revision_4,
CCI-000907,PE-1_b_1,NIST_SP_800-53_Revision_4,
CCI-000910,PE-1_b_2,NIST_SP_800-53_Revision_4,
CCI-000911,PE-1_b_2,NIST_SP_800-53_Revision_4,
CCI-000904,PE-1.1_(i_and_ii),NIST_SP_800-53A,
CCI-000905,PE-1.1_(iii),NIST_SP_800-53A,
CCI-000908,PE-1.1_(iv_and_v),NIST_SP_800-53A,
CCI-000909,PE-1.1_(vi),NIST_SP_800-53A,
CCI-000907,PE-1.2_(i),NIST_SP_800-53A,
CCI-000906,PE-1.2_(ii),NIST_SP_800-53A,
CCI-000911,PE-1.2_(iii),NIST_SP_800-53A,
CCI-000910,PE-1.2_(iv),NIST_SP_800-53A,
CCI-000956,PE-10_a,NIST_SP_800-53,
CCI-000956,PE-10_a,NIST_SP_800-53_Revision_4,
CCI-000957,PE-10_b,NIST_SP_800-53,
CCI-000957,PE-10_b,NIST_SP_800-53_Revision_4,
CCI-000958,PE-10_b,NIST_SP_800-53,
CCI-000958,PE-10_b,NIST_SP_800-53_Revision_4,
CCI-000959,PE-10_c,NIST_SP_800-53,
CCI-000959,PE-10_c,NIST_SP_800-53_Revision_4,
CCI-000956,PE-10.1_(i),NIST_SP_800-53A,
CCI-000958,PE-10.1_(ii),NIST_SP_800-53A,
CCI-000957,PE-10.1_(iii),NIST_SP_800-53A,
CCI-000959,PE-10.1_(iv),NIST_SP_800-53A,
CCI-000960,PE-11,NIST_SP_800-53,
CCI-002955,PE-11,NIST_SP_800-53_Revision_4,
CCI-000961,PE-11_(1),NIST_SP_800-53,
CCI-000961,PE-11_(1),NIST_SP_800-53_Revision_4,
CCI-000961,PE-11_(1).1,NIST_SP_800-53A,
CCI-000962,PE-11_(2),NIST_SP_800-53,
CCI-002956,PE-11_(2)_(a),NIST_SP_800-53_Revision_4,
CCI-002957,PE-11_(2)_(b),NIST_SP_800-53_Revision_4,
CCI-002958,PE-11_(2)_(c),NIST_SP_800-53_Revision_4,
CCI-000962,PE-11_(2).1,NIST_SP_800-53A,
CCI-000960,PE-11.1,NIST_SP_800-53A,
CCI-000963,PE-12,NIST_SP_800-53,
CCI-000963,PE-12,NIST_SP_800-53_Revision_4,
CCI-000964,PE-12_(1),NIST_SP_800-53,
CCI-002959,PE-12_(1),NIST_SP_800-53_Revision_4,
CCI-002960,PE-12_(1),NIST_SP_800-53_Revision_4,
CCI-000964,PE-12_(1).1,NIST_SP_800-53A,
CCI-000963,PE-12.1_(i)_(ii)(iii),NIST_SP_800-53A,
CCI-000965,PE-13,NIST_SP_800-53,
CCI-000965,PE-13,NIST_SP_800-53_Revision_4,
CCI-000966,PE-13_(1),NIST_SP_800-53,
CCI-002961,PE-13_(1),NIST_SP_800-53_Revision_4,
CCI-002962,PE-13_(1),NIST_SP_800-53_Revision_4,
CCI-002963,PE-13_(1),NIST_SP_800-53_Revision_4,
CCI-002964,PE-13_(1),NIST_SP_800-53_Revision_4,
CCI-000966,PE-13_(1).1,NIST_SP_800-53A,
CCI-000967,PE-13_(2),NIST_SP_800-53,
CCI-002965,PE-13_(2),NIST_SP_800-53_Revision_4,
CCI-002966,PE-13_(2),NIST_SP_800-53_Revision_4,
CCI-002967,PE-13_(2),NIST_SP_800-53_Revision_4,
CCI-000967,PE-13_(2).1,NIST_SP_800-53A,
CCI-000968,PE-13_(3),NIST_SP_800-53,
CCI-000968,PE-13_(3),NIST_SP_800-53_Revision_4,
CCI-000968,PE-13_(3).1,NIST_SP_800-53A,
CCI-000969,PE-13_(4),NIST_SP_800-53,
CCI-000970,PE-13_(4),NIST_SP_800-53,
CCI-002968,PE-13_(4),NIST_SP_800-53_Revision_4,
CCI-002969,PE-13_(4),NIST_SP_800-53_Revision_4,
CCI-002970,PE-13_(4),NIST_SP_800-53_Revision_4,
CCI-002971,PE-13_(4),NIST_SP_800-53_Revision_4,
CCI-000970,PE-13_(4).1_(i),NIST_SP_800-53A,
CCI-000969,PE-13_(4).1_(ii_and_iii),NIST_SP_800-53A,
CCI-000965,PE-13.1_(i)_(ii),NIST_SP_800-53A,
CCI-000975,PE-14_(1),NIST_SP_800-53,
CCI-000975,PE-14_(1),NIST_SP_800-53_Revision_4,
CCI-000975,PE-14_(1).1,NIST_SP_800-53A,
CCI-000976,PE-14_(2),NIST_SP_800-53,
CCI-000976,PE-14_(2),NIST_SP_800-53_Revision_4,
CCI-000976,PE-14_(2).1,NIST_SP_800-53A,
CCI-000971,PE-14_a,NIST_SP_800-53,
CCI-000971,PE-14_a,NIST_SP_800-53_Revision_4,
CCI-000972,PE-14_a,NIST_SP_800-53,
CCI-000972,PE-14_a,NIST_SP_800-53_Revision_4,
CCI-000973,PE-14_b,NIST_SP_800-53,
CCI-000973,PE-14_b,NIST_SP_800-53_Revision_4,
CCI-000974,PE-14_b,NIST_SP_800-53,
CCI-000974,PE-14_b,NIST_SP_800-53_Revision_4,
CCI-000972,PE-14.1_(i),NIST_SP_800-53A,
CCI-000971,PE-14.1_(ii),NIST_SP_800-53A,
CCI-000974,PE-14.1_(iii),NIST_SP_800-53A,
CCI-000973,PE-14.1_(iv),NIST_SP_800-53A,
CCI-000977,PE-15,NIST_SP_800-53,
CCI-000977,PE-15,NIST_SP_800-53_Revision_4,
CCI-000978,PE-15,NIST_SP_800-53,
CCI-000978,PE-15,NIST_SP_800-53_Revision_4,
CCI-000979,PE-15,NIST_SP_800-53,
CCI-000979,PE-15,NIST_SP_800-53_Revision_4,
CCI-000980,PE-15_(1),NIST_SP_800-53,
CCI-002972,PE-15_(1),NIST_SP_800-53_Revision_4,
CCI-002973,PE-15_(1),NIST_SP_800-53_Revision_4,
CCI-000980,PE-15_(1).1,NIST_SP_800-53A,
CCI-000977,PE-15.1_(i),NIST_SP_800-53A,
CCI-000978,PE-15.1_(i),NIST_SP_800-53A,
CCI-000979,PE-15.1_(ii),NIST_SP_800-53A,
CCI-000981,PE-16,NIST_SP_800-53,
CCI-000981,PE-16,NIST_SP_800-53_Revision_4,
CCI-000982,PE-16,NIST_SP_800-53,
CCI-000982,PE-16,NIST_SP_800-53_Revision_4,
CCI-000983,PE-16,NIST_SP_800-53,
CCI-000983,PE-16,NIST_SP_800-53_Revision_4,
CCI-000984,PE-16,NIST_SP_800-53,
CCI-000984,PE-16,NIST_SP_800-53_Revision_4,
CCI-002974,PE-16,NIST_SP_800-53_Revision_4,
CCI-000981,PE-16.1_(ii),NIST_SP_800-53A,
CCI-000982,PE-16.1_(ii),NIST_SP_800-53A,
